concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
430,18/01/2003,8,10,21,25,38,50,1,14410708.81,"Caminhão da Sorte em Guaratuba, PR"
431,22/01/2003,26,37,40,47,52,58,0,0.0,"Caminhão da Sorte em Caldas Novas, GO"
432,25/01/2003,4,13,17,27,39,50,0,0.0,"Caminhão da Sorte em Caldas Novas, GO"
433,29/01/2003,16,17,28,30,36,54,0,0.0,"Caminhão da Sorte em Jardim, MS"
434,01/02/2003,4,10,17,24,30,54,0,0.0,"Caminhão da Sorte em Bonito, MS"
435,05/02/2003,10,11,17,31,37,43,0,0.0,"Caminhão da Sorte em Mongaguá, SP"
436,08/02/2003,1,6,7,29,48,57,0,0.0,"Caminhão da Sorte em Itanhaém, SP"
437,12/02/2003,7,10,30,44,54,59,0,0.0,"Caminhão da Sorte em Santa Rosa de Viterbo, SP"
438,15/02/2003,3,5,11,14,38,48,0,0.0,"Caminhão da Sorte em Cajuru, SP"
439,19/02/2003,13,20,29,42,43,57,0,0.0,"Caminhão da Sorte em Dourados, MS"
440,22/02/2003,3,5,23,30,46,47,0,0.0,"Caminhão da Sorte em Dourados, MS"
441,26/02/2003,2,10,15,21,58,59,0,0.0,"Caminhão da Sorte em Corumbá, MS"
442,01/03/2003,6,15,23,31,37,59,1,19946601.01,"Caminhão da Sorte em Corumbá, MS"
443,08/03/2003,11,17,26,36,48,52,0,0.0,"Caminhão da Sorte em Maracaju, MS"
444,12/03/2003,3,24,33,48,52,57,0,0.0,"Caminhão da Sorte em Itumbiara, GO"
445,15/03/2003,7,20,31,32,50,53,0,0.0,"Caminhão da Sorte em Itumbiara, GO"
446,19/03/2003,8,11,12,17,20,47,2,1767117.91,"Caminhão da Sorte em Casa Branca, SP"
447,22/03/2003,15,24,25,33,42,55,0,0.0,"Caminhão da Sorte em Mogi-Guaçu, SP"
448,26/03/2003,3,5,9,45,51,52,0,0.0,"Caminhão da Sorte em Wenceslau Bráz, PR"
449,29/03/2003,1,8,24,34,49,56,0,0.0,"Caminhão da Sorte em Sto. Antônio da Platina, PR"
450,02/04/2003,1,9,13,50,51,59,0,0.0,"Caminhão da Sorte em Colombo, PR"
451,05/04/2003,17,18,23,28,31,53,0,0.0,"Caminhão da Sorte em Jaguariaíva, PR"
452,09/04/2003,11,16,30,36,51,54,0,0.0,"Caminhão da Sorte em Osasco, SP"
453,12/04/2003,8,20,23,34,52,58,0,0.0,"Caminhão da Sorte em Osasco, SP"
454,16/04/2003,4,17,24,42,46,56,0,0.0,"Caminhão da Sorte em São Vicente, SP"
455,19/04/2003,2,14,15,17,50,59,0,0.0,"Caminhão da Sorte em Praia Grande, SP"
456,23/04/2003,3,17,22,27,33,40,0,0.0,"Caminhão da Sorte em Jales, SP"
457,26/04/2003,15,17,24,27,32,48,3,10000441.74,"Caminhão da Sorte em Jales, SP"
458,30/04/2003,13,24,32,34,43,53,0,0.0,"Caminhão da Sorte em Morretes, PR"
