concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2411,22/09/2021,07,26,29,34,43,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2412,25/09/2021,09,16,34,36,49,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2413,28/09/2021,03,22,37,40,41,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2414,30/09/2021,04,05,06,14,29,38,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2415,02/10/2021,10,12,26,29,35,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2416,06/10/2021,06,07,11,26,37,57,1,35714240.27,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2417,09/10/2021,03,07,10,11,27,46,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2418,13/10/2021,02,11,19,27,57,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2419,16/10/2021,10,35,43,48,50,53,1,11509541.3,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2420,19/10/2021,05,08,29,39,44,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2421,21/10/2021,02,03,32,35,48,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2422,23/10/2021,02,07,10,20,30,46,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2423,27/10/2021,16,18,38,48,51,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2424,30/10/2021,03,16,17,37,38,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2425,03/11/2021,10,31,38,46,49,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2426,06/11/2021,05,11,24,27,32,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2427,10/11/2021,03,19,25,37,44,56,5,18181413.39,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2428,13/11/2021,03,09,25,28,29,39,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
